Score-Threshold,History-Threshold,MAE-Binomial,MAE-Baseline,MSE-Binomial,MSE-Baseline
0.6,5,0.20248433031864707,0.2016843793388777,0.0674940050545281,0.07076149817450443
0.6,7,0.20014273244713043,0.19885313137457902,0.06599492229749003,0.06852170335827171
0.6,9,0.19832507437083116,0.19689598105262973,0.06508950126548743,0.06729914744552348
0.6,11,0.19601776153996583,0.1946064673028181,0.06377553902387845,0.06576168158504726
0.6,13,0.19508188824742909,0.19385643787901297,0.06327381329221257,0.06525710860207966
0.6,15,0.19414804193280255,0.19288457867943606,0.06293649779181161,0.06462810952171341
0.7,5,0.2176068890359166,0.2193966226945317,0.07516649014747921,0.08007874883448825
0.7,7,0.2145658844752454,0.21576842299840798,0.07302097230229487,0.07690449511621898
0.7,9,0.2124976144034855,0.21351924005122053,0.0716493850957309,0.0751674413812692
0.7,11,0.21077831023727842,0.21220562677368757,0.07053024010681568,0.07407429585379392
0.7,13,0.20965742880748547,0.2105371322526804,0.06976042623592536,0.07286713410251172
0.7,15,0.20790074027434918,0.20834568553821708,0.0686501738653998,0.0714278394625696
0.8,5,0.2759282917282207,0.28557336749340273,0.10602265330227208,0.12295834743352065
0.8,7,0.2732715595551886,0.28175439692565424,0.10388584251017444,0.11895523929608909
0.8,9,0.2720050612455293,0.27984302353916407,0.10270511224820071,0.117031367060696
0.8,11,0.27084918775228195,0.2786098225130698,0.10147109217745295,0.11543107741845175
0.8,13,0.26941222187762803,0.27705782301533843,0.1002337129564195,0.11380446273580273
0.8,15,0.26854698637155927,0.27504920993191745,0.09933088018585674,0.11181993679261451
0.9,5,0.3175420000649216,0.39429892018308343,0.13058935108342842,0.20960731662688706
0.9,7,0.31607595549024314,0.3921360288903617,0.12945909007607348,0.20627875117660785
0.9,9,0.3152892463690364,0.3905279294840699,0.1287209413030656,0.20383529925074576
0.9,11,0.3138932217413399,0.38942371396856623,0.1276558076131471,0.20171928879657958
0.9,13,0.3128811260282898,0.38839741741214034,0.1269673897826864,0.2002274525629824
0.9,15,0.3126175152692793,0.3870579945463797,0.12668137582273623,0.1984687040394845
