Score-Threshold,History-Threshold,MAE-Binomial,MAE-Baseline,MSE-Binomial,MSE-Baseline
0.6,5,0.18909338737679415,0.20183976600741008,0.062245444125795184,0.07090082843256781
0.6,7,0.18803469886945853,0.19862657363504885,0.06188126704020808,0.06846787638224114
0.6,9,0.18750846780688712,0.19689598105268744,0.06192578656217915,0.06729914744553465
0.6,11,0.18595968958820716,0.19460646730290523,0.061260427694338065,0.0657616815850516
0.6,13,0.18588125464178967,0.19391286014689404,0.06152259104244634,0.06538810543295322
0.6,15,0.18549043469489973,0.19313612613009415,0.06147090126372885,0.06464145548322224
0.7,5,0.19683600484560582,0.21971418668846082,0.06496536930268229,0.0803014016426185
0.7,7,0.19489514996607132,0.21570050891198844,0.06393709115383142,0.07697007672438458
0.7,9,0.19355030797059897,0.21377117442299762,0.06344746868770389,0.07532167111763058
0.7,11,0.19227977178646916,0.2116653830502572,0.06278793345427233,0.07377347543598241
0.7,13,0.19183465896164995,0.2105745302906572,0.0627536799987194,0.07299594691618823
0.7,15,0.19043875143663544,0.2089711227224911,0.062108869935643796,0.07187495360851319
0.8,5,0.24534404782488428,0.2855668149351954,0.08799052362422752,0.12289796398942457
0.8,7,0.24304167194915155,0.28184741434739125,0.08640364048010456,0.1190952097540556
0.8,9,0.24118742104668076,0.2802130662675542,0.08511157948762696,0.11728497096626826
0.8,11,0.23961561386754338,0.2786206601123643,0.0838153167820916,0.11535520014138227
0.8,13,0.23780598391759059,0.2769171867162732,0.08266808325414966,0.1136909271880433
0.8,15,0.236425732245952,0.27477523842619606,0.08175044469585298,0.1115639770962652
0.9,5,0.34097362201895637,0.3943220762591593,0.15464737338547951,0.20965097427739102
0.9,7,0.3372985405015742,0.39197317150725575,0.15188855172317492,0.20613078198935914
0.9,9,0.3335742757717918,0.38989829095933437,0.14873597723928053,0.2034045118396191
0.9,11,0.3306386290628282,0.389401395793794,0.1463891435271079,0.20180848651295144
0.9,13,0.32790664930676655,0.38830391093296057,0.1443265599623223,0.200202022135257
0.9,15,0.32603798969707876,0.3873094668951214,0.14299770823317168,0.19865583911049786
