Score-Threshold,History-Threshold,MAE-Binomial,MAE-Baseline,MSE-Binomial,MSE-Baseline
0.6,5,0.10685554860602034,0.12969151168424228,0.04488035173322584,0.04365366826309414
0.6,7,0.10575548054846476,0.12746709365505865,0.044073397348921156,0.041637945622689056
0.6,9,0.10394871318170723,0.12508225633179804,0.04311097746532789,0.039937000426365304
0.6,11,0.10228474023596706,0.12354760393911329,0.042076979967420346,0.038830194365519
0.6,13,0.10089087886257381,0.12230542185719329,0.0413388314575951,0.03801537793675923
0.6,15,0.09977730208063605,0.12144497900973165,0.04077365579125642,0.0374544191732687
0.7,5,0.10640965929005998,0.13663339431771745,0.04495817470315356,0.04487648378174903
0.7,7,0.10533068447580651,0.1340322880657633,0.044128087840622894,0.042590789291445635
0.7,9,0.10356035846449564,0.13183520055366435,0.043153681146486114,0.04094626847971188
0.7,11,0.10192150208693994,0.13034851093015765,0.042106078148027234,0.03986355863903043
0.7,13,0.10053239631537485,0.12904554904465032,0.04135203537993883,0.03899155226188931
0.7,15,0.09942732525931688,0.12821773634189088,0.040763882283226874,0.0383742652664078
0.8,5,0.10572296043881058,0.16833128589290244,0.04542642144251171,0.05537796671271238
0.8,7,0.1048088074604649,0.1650857943986669,0.044549708541839886,0.052068992461404895
0.8,9,0.10317623260536778,0.1626954703830794,0.04353597403037177,0.0498356487422452
0.8,11,0.10162710849576927,0.16071804361959624,0.04243222064707388,0.04824491034033106
0.8,13,0.10037143476312796,0.1594046719493967,0.041649909884300174,0.04713060343364784
0.8,15,0.099419254117328,0.15861255859901302,0.04103446409429241,0.04648317561664311
0.9,5,0.10530798492253388,0.19763006199738395,0.04567310979835034,0.06893817974080957
0.9,7,0.10446970381166407,0.19411770360959757,0.044748240079488,0.06500948029947867
0.9,9,0.10290287434284312,0.19176907392110812,0.04367680942223112,0.06256598326286981
0.9,11,0.10139731154896638,0.1896301529559653,0.04251222719879044,0.06080722900834609
0.9,13,0.10020274550268155,0.18815946950757123,0.04169172842989573,0.059571510425668064
0.9,15,0.09931504172752813,0.18737180316029783,0.04105919595041798,0.058977556578490305
