Score-Threshold,History-Threshold,MAE-Binomial,MAE-Baseline,MSE-Binomial,MSE-Baseline
0.6,5,0.11028077052709274,0.12969151168422569,0.0433814457534487,0.04365366826308027
0.6,7,0.1092003421401456,0.1274670936550241,0.04250982586298491,0.041637945622682825
0.6,9,0.10744931324790019,0.1250822563317394,0.04151040993291622,0.039937000426364555
0.6,11,0.1058342180829798,0.12354760393904005,0.040444281559033124,0.038830194365522125
0.6,13,0.10458838121729422,0.12230542185713032,0.0397312866161036,0.03801537793675884
0.6,15,0.1035451879026689,0.12144497900969546,0.03915370705460304,0.037454419173268604
0.7,5,0.10993167426177196,0.13663339431768212,0.0433445814758738,0.04487648378173024
0.7,7,0.1088225211035131,0.13403228806571496,0.04241042914464486,0.042590789291437836
0.7,9,0.10726414430199357,0.1318352005536221,0.041414793962613904,0.04094626847970723
0.7,11,0.10565817248221895,0.1303485109300847,0.04038079923943752,0.03986355863902998
0.7,13,0.1043681653102231,0.1290455490445923,0.03960502362582421,0.03899155226189176
0.7,15,0.10342535465297725,0.12821773634185227,0.039042085742799,0.03837426526640904
0.8,5,0.11007532118117742,0.16833128589283214,0.04347884412468104,0.05537796671268278
0.8,7,0.10934188939783208,0.16508579439858242,0.04253736738599962,0.0520689924613886
0.8,9,0.10791794231283056,0.16269547038301407,0.04148723210659062,0.049835648742234305
0.8,11,0.10644831429158665,0.1607180436195255,0.040367940920972095,0.048244910340323195
0.8,13,0.10541582449293904,0.15940467194935415,0.03967931759479031,0.04713060343364245
0.8,15,0.10470902826600058,0.15861255859900703,0.03905282960547309,0.04648317561664532
0.9,5,0.11067438539896489,0.19763006199743519,0.04370344867070915,0.06893817974078102
0.9,7,0.11007894861507952,0.19411770360949343,0.0427146983967388,0.06500948029944932
0.9,9,0.1088266577582304,0.1917690739210404,0.04164556745802383,0.0625659832628558
0.9,11,0.10754638281066685,0.18963015295586486,0.04049796760604315,0.060807229008346494
0.9,13,0.10660959466350439,0.18815946950751494,0.039762454101582335,0.059571510425665906
0.9,15,0.10595849793202816,0.18737180316029367,0.03917534173894345,0.058977556578486384
