1.0092031255160008,0.5908324719053836,0.22478973816102446
0.9829933880345211,0.19033454563601235,0.7157854216532814
History-Threshold,MAE-Binomial,MAE-Baseline, MSE-Binomial, MSE-Baseline
5,0.17400373685600823,0.19997749088923136,0.06996543514899176,0.06980199772683632
7,0.16666595803831827,0.19685561924170566,0.06478091822324014,0.06620449014550463
9,0.16118774526062593,0.19487751346477927,0.06130787783502174,0.06403018452084151
11,0.15664664567443107,0.1926488149079723,0.05842755872836901,0.062123458990492555
13,0.1534947765965595,0.19158415188159236,0.056774911974735595,0.06113666274504462
15,0.1504270960985054,0.19044760775147404,0.05524464946311416,0.06034518284064808
