1.1137785979859873,0.47481549490619795,0.30958154428563345,0.0977853285415585
1.1103837185963015,0.12700007993847265,0.6417917553586456,0.1504980929804364
1.1310716926670077,0.12137168266653264,0.2835376689848737,0.48707863224426573
History-Threshold,MAE-Binomial,MAE-Baseline, MSE-Binomial, MSE-Baseline
5,0.1768994878614368,0.2081386245176995,0.07179804145753334,0.07253241062258664
7,0.16910616967837241,0.20452603458888233,0.06605015584105722,0.06858114760051613
9,0.16306039034927913,0.20202441748829447,0.06210413820064761,0.06600995731390347
11,0.15906663069752242,0.20050189121081025,0.05966523115251312,0.06453765229297206
13,0.1555065772938486,0.1987583748637418,0.05758661832213051,0.06313592489168186
15,0.15185613489386215,0.19743174673003444,0.05567685166025545,0.06225133103391823
