0.906268764418296,0.5827536614814502,0.133989590309685,0.20713563312444727
1.0605057480906097,0.4511255593739169,0.2840593512088008,0.06751754061368224
0.8688475445165402,0.4696722366517787,0.13822397131352504,0.4194215743835828
History-Threshold,MAE-Binomial,MAE-Baseline, MSE-Binomial, MSE-Baseline
5,0.16584498127034855,0.18822895492765615,0.06537880469882573,0.06664310782530879
7,0.15915164350558844,0.18592607805572872,0.06102859540394874,0.06331701564279603
9,0.15378494811605772,0.18363788174304924,0.05805976941663891,0.06114467002047071
11,0.14858383810458184,0.18061805314919957,0.054942111889113764,0.05870466604967703
13,0.14569215900201968,0.17998197383546843,0.05349385103369761,0.057789289399484786
15,0.14296921611464783,0.1788697533905035,0.052291260921591254,0.05694009253597605
