0.43520192009294023,0.9375692441625095,0.5358001151726326,0.6022439839163624
0.9633923202297273,0.9583923895760206,0.3720953099301028,0.09546219990683859
-0.40943603571957976,1.3492568066478787,0.8165247961208288,1.3315066889033729
History-Threshold,MAE-Binomial,MAE-Baseline, MSE-Binomial, MSE-Baseline
5,0.1775364227216696,0.18822895492773398,0.06390176412592262,0.06664310782530661
7,0.16975360440830387,0.1859260780557865,0.060211687766926536,0.06331701564278704
9,0.1636845249584145,0.18363788174307172,0.05777787592590343,0.0611446700204587
11,0.15768676994599123,0.180618053149196,0.055022278842568974,0.058704666049670264
13,0.15454876775695628,0.17998197383546552,0.05392319287642212,0.05778928939947687
15,0.15080768856154705,0.1788697533905129,0.05268476591097748,0.05694009253597224
