1.0079188824517138,0.5916030892285377,0.225598106061249
0.9821577582907363,0.18888495540855382,0.717099132762691
History-Threshold,MAE-Binomial,MAE-Baseline, MSE-Binomial, MSE-Baseline
5,0.1740597379796072,0.19997749088923136,0.0699704348014457,0.06980199772683632
7,0.1666811645711077,0.19685561924170566,0.06478514173261264,0.06620449014550463
9,0.16120745638936562,0.19487751346477927,0.06134622161792323,0.06403018452084151
11,0.15664768704431128,0.1926488149079723,0.058545171517903574,0.062123458990492555
13,0.1536003197529075,0.19158415188159236,0.05680075106205019,0.06113666274504462
15,0.1505188911873454,0.19044760775147404,0.05528463272457781,0.06034518284064808
