0.9046249869006858,0.5869194507120165,0.1362561283506505,0.20185919724541684
1.058975837109184,0.45737263224123,0.28054996751604644,0.062012414282927905
0.8697779666476854,0.4701834566577364,0.14828133978757416,0.4126350529173644
History-Threshold,MAE-Binomial,MAE-Baseline, MSE-Binomial, MSE-Baseline
5,0.16614327559153091,0.18822895492765615,0.06563886879718213,0.06664310782530879
7,0.1590050990274913,0.18592607805572872,0.060951632594586184,0.06331701564279603
9,0.15352019241050288,0.18363788174304924,0.05798867002855317,0.06114467002047071
11,0.1485146470235739,0.18061805314919957,0.055042857324038165,0.05870466604967703
13,0.1457135592636741,0.17998197383546843,0.05350776562768854,0.057789289399484786
15,0.14311375248349092,0.1788697533905035,0.05248383745063097,0.05694009253597605
