0.9594599918526437,0.7969022039977114,0.5661571591612914
0.9420381224261286,0.4527734890406723,1.0044727978472963
History-Threshold,MAE-Binomial,MAE-Baseline, MSE-Binomial, MSE-Baseline
5,0.1664505731850556,0.19997749088917482,0.06389425685184065,0.0698019977268557
7,0.15898458363310466,0.1968556192418575,0.05966024298444015,0.06620449014551939
9,0.15360081105656698,0.19487751346488313,0.056932478937262415,0.06403018452084634
11,0.14897205734692576,0.1926488149080989,0.054615463187520565,0.06212345899049493
13,0.14594968150663654,0.19158415188164657,0.053328036462462,0.061136662745055484
15,0.1430526704614191,0.1904476077514919,0.05227325720839957,0.06034518284065927
