1.1105329274907856,0.47316017474268507,0.31103909020541337,0.10353084673145677
1.1044115163264312,0.12643052694143306,0.6430401681699566,0.15567061571672505
1.1251747307378939,0.12772789087075584,0.28983591904421696,0.4847747969061533
History-Threshold,MAE-Binomial,MAE-Baseline, MSE-Binomial, MSE-Baseline
5,0.17694836788372156,0.2081386245176995,0.07181018206374255,0.07253241062258664
7,0.16899193270413854,0.20452603458888233,0.06601805878602388,0.06858114760051613
9,0.16312188341209918,0.20202441748829447,0.062110069247557326,0.06600995731390347
11,0.15893293232886818,0.20050189121081025,0.059636944343995794,0.06453765229297206
13,0.15517752917040012,0.1987583748637418,0.05735201960681867,0.06313592489168186
15,0.1518731812802532,0.19743174673003444,0.055779900450620756,0.06225133103391823
