1.1586596608773523,0.5360218332338728,0.6729648827836889,0.16798461313871124
1.2241229519481718,0.1548067393754248,0.8935231353308939,0.23618361073609764
1.0906426809203307,0.2426304620291536,0.5455364371347848,0.7664626669205962
History-Threshold,MAE-Binomial,MAE-Baseline, MSE-Binomial, MSE-Baseline
5,0.17098798967224985,0.20813862451782014,0.06598097123091924,0.07253241062260368
7,0.16293408451558675,0.20452603458893742,0.06120545538620456,0.06858114760051966
9,0.1569482324873922,0.2020244174883429,0.057883454116765036,0.0660099573138959
11,0.15318828561053205,0.20050189121087145,0.05624621578874647,0.0645376522929597
13,0.14944042573029148,0.1987583748637668,0.054445591110010516,0.06313592489167016
15,0.1462003693302443,0.19743174673006522,0.05328914234162842,0.06225133103391276
