Score-Threshold,History-Threshold,MAE-Multinomial,MAE-Baseline,MSE-Multinomial,MSE-Baseline
0.0,5,0.18798687992614446,0.18782587465591125,0.06174709308485995,0.06282745957997898
0.0,7,0.18766966802739202,0.18738504876773523,0.062066036444311065,0.0626145752689402
0.0,9,0.18739172598288825,0.18733353843254763,0.06253119768404587,0.06272513899831683
0.0,11,0.18588117819599112,0.18584807784667942,0.06211754235434963,0.06197985428152674
0.0,13,0.18572831074428225,0.18564896719102536,0.06234065821792496,0.06192506939973091
0.0,15,0.18590588165158614,0.18556655921862727,0.0628466707851075,0.06211694256841882
