0.8441536252001186,0.5820328230340206,0.5606700950719724
0.7750348906466603,0.43663798233106954,0.7684650918427572
History-Threshold,MAE-Binomial,MAE-Baseline, MSE-Binomial, MSE-Baseline
5,0.13115611374691835,0.13872869810684463,0.04400636703988165,0.04554452345948766
7,0.12527409000740178,0.13693215789007823,0.042231251019100184,0.04362039763620251
9,0.12073562087932795,0.13518781402527877,0.040890701772747076,0.042109335312972736
11,0.11734071873116553,0.13378755311696192,0.039965003354413886,0.04094254695224649
13,0.11464886334997297,0.13290800995502647,0.03932079228160326,0.040217686119004906
15,0.11182579776071262,0.13146872868519868,0.03853682340364065,0.039316401551413485
