0.7687231560797363,0.5241061211342377,0.14989281692274717,0.13555920795139084
0.8226704702810147,0.43930013690328285,0.29094023012220843,0.07642827768587289
0.8078022870581114,0.3332056116462455,0.14042397869916554,0.3576316361002049
History-Threshold,MAE-Binomial,MAE-Baseline, MSE-Binomial, MSE-Baseline
5,0.13759775070412203,0.13850100059617226,0.049417360635470683,0.04719574341985254
7,0.13143258774535846,0.13675555264793685,0.046505385499230896,0.04496095551728796
9,0.12625460921294593,0.13445611988632006,0.04431721610487424,0.04320116841626606
11,0.12244934266555023,0.13277072445655808,0.042741754097303956,0.04177437703809077
13,0.1199000793673745,0.13226645882583637,0.041965807744202534,0.04123503833025095
15,0.1174560682504659,0.13121883810278828,0.041174528766914645,0.040691555448884954
