0.8136246867706001,0.4033210792625264,0.2643972424739576,0.1745485085058326
0.8160648148293849,0.1800966062325899,0.5164816964539825,0.19493469691023496
0.8622786368721589,0.15471885413182052,0.28643432257572315,0.4186118985222006
History-Threshold,MAE-Binomial,MAE-Baseline, MSE-Binomial, MSE-Baseline
5,0.13368137226476182,0.13757229671487237,0.04646825207328992,0.04415442409755269
7,0.12827187973833937,0.13592131794245638,0.04414430569638008,0.042396822779163186
9,0.12339537347646602,0.13403432654279215,0.042002749897935815,0.04073019856318737
11,0.12056170042325245,0.13322219642352018,0.04110253296244377,0.03995158783480072
13,0.11716247539589655,0.13185215109957774,0.039717417178960136,0.03889427756465653
15,0.1138598672530085,0.12964467286128722,0.038408212476932095,0.037650105275498294
