0.7176308054839471,0.5030449140984726,0.1441510139381035,0.10597414746855552
0.8236994527084364,0.39060543417774773,0.27620627834440115,0.060860967982075555
0.7662078795021097,0.3010290625487962,0.14380576013794807,0.3400994183954226
0.7498874619489955,0.393536079167098,0.22266168482088872,0.16151289059030371
0.7492749126306744,0.176648158086965,0.46335225052596574,0.19609416240639185
0.787824044148382,0.14776747095620216,0.2676184939840452,0.3866351108895417
0.7952792505302345,0.4719605553401025,0.2304023119355335
0.7417494401514315,0.1675460333934155,0.5592708549666093
History-Threshold,MAE-Binomial,MAE-Baseline, MSE-Binomial, MSE-Baseline
5,0.13580454860857522,0.12969151168422569,0.04724369581778347,0.04365366826308027
7,0.1295683845555098,0.1274670936550241,0.044506307207761074,0.041637945622682825
9,0.12458567071097043,0.1250822563317394,0.04246855632904002,0.039937000426364555
11,0.12068785842909484,0.12354760393904005,0.040953659260118014,0.038830194365522125
13,0.11775940440367022,0.12230542185713032,0.039880015640058074,0.03801537793675884
15,0.11525098574591694,0.12144497900969546,0.03907343023058212,0.037454419173268604
