0.8388122247020496,0.5072395338923008,0.23999087394110016
0.7889920377110514,0.18502463391811824,0.6063001679156252
History-Threshold,MAE-Binomial,MAE-Baseline, MSE-Binomial, MSE-Baseline
5,0.13528009316289305,0.13872869810674596,0.048048047403925286,0.0455445234594852
7,0.12963670085886875,0.13693215789000887,0.04547814595693261,0.04362039763620768
9,0.12508254822852827,0.13518781402523397,0.04349393114007658,0.04210933531297742
11,0.12188993121781025,0.13378755311688081,0.04221558582743783,0.040942546952255146
13,0.11919188542324102,0.13290800995496782,0.041258967669270646,0.04021768611900747
15,0.11636594054913406,0.13146872868516224,0.040083553706523084,0.03931640155141418
