0.8908634405082693,0.3347959370826764,0.4438078842456121,0.1713350660222829
0.7585090712368084,0.7070677787693845,0.3793400818871892,0.09461464022423484
0.6431563094192677,0.3916515066272194,0.38552247724208133,0.6007366122595369
0.7847540213482661,0.4036186081159133,0.3924402897948279,0.3543008936487118
0.6764821003922052,0.36897888032306,0.6206341692120249,0.36555063625284523
0.8170603602047947,0.22717779871161498,0.4460061038033914,0.4828889731937386
0.8761341374313355,0.4697213461499374,0.50905219259946
0.9877004937077604,0.3047090406019231,0.47947619743606207
History-Threshold,MAE-Binomial,MAE-Baseline, MSE-Binomial, MSE-Baseline
5,0.1101826318533973,0.12969151168424228,0.04282712859339415,0.04365366826309414
7,0.10746132503374688,0.12746709365505865,0.042004300021715374,0.041637945622689056
9,0.10464893895536086,0.12508225633179804,0.041053648651855054,0.039937000426365304
11,0.10232378201918825,0.12354760393911329,0.04017991077816686,0.038830194365519
13,0.10033981593273214,0.12230542185719329,0.03955702067708269,0.03801537793675923
15,0.09906299014980718,0.12144497900973165,0.0392811571350674,0.0374544191732687
