1.0405958567970064,0.16379785641540257,0.26759010766443275,0.204053523639401
0.9762244868084329,0.2254815174006661,0.330246823819623,0.2023002939500977
0.9647901655272444,0.1944286651634752,0.2670670874346058,0.30606940431685903
History-Threshold,MAE-Binomial,MAE-Baseline, MSE-Binomial, MSE-Baseline
5,0.12381578001677163,0.11431175236638648,0.04024347067011388,0.041274448463855515
7,0.11861720118885086,0.11359364096404628,0.039612890357285116,0.0403588619086649
9,0.11391144732873355,0.11165869443616909,0.03867341715822004,0.03898102074416581
11,0.11076430653180908,0.11041754090730893,0.03825554270858299,0.03819767886072302
13,0.10774602356204004,0.10911449140324318,0.0376302174943659,0.03731627970599594
15,0.1043102247635085,0.10701488842417081,0.036630528699846496,0.03614867773637037
