1.0738115599742437,0.27446032892012645,0.32669453265632425
1.1267080152289508,0.26305705379609273,0.2396219708072129
History-Threshold,MAE-Binomial,MAE-Baseline, MSE-Binomial, MSE-Baseline
5,0.12179265653507877,0.11598131405063969,0.041978398969637766,0.042839218102435156
7,0.1169754659057342,0.11523344575818446,0.04130646644508696,0.04174583978645208
9,0.11238348890658606,0.11322103304610578,0.040296749626279604,0.040284324032124216
11,0.10896666624711616,0.11175463120737819,0.03956194288992659,0.039215882374783115
13,0.10643829418729328,0.11083125499110322,0.039238566154613276,0.03866845731352921
15,0.1038829276011799,0.10943849502374846,0.038689191033509256,0.03785851031239951
