0.9725406494006397,0.21149755773382592,0.4683979752118744,0.10630320576945364
0.8664320295261596,0.5154264066969263,0.23098709245734694,0.2009342537626313
0.9373658843503624,0.14642251167283435,0.2701312869533907,0.4368655679948576
History-Threshold,MAE-Binomial,MAE-Baseline, MSE-Binomial, MSE-Baseline
5,0.13177996061476832,0.11762034849270417,0.043841003721282676,0.04504271070163219
7,0.12569382210484112,0.11663882956147156,0.04255953145408075,0.043447728254809324
9,0.11999032543292877,0.11397235669042473,0.04118514224042041,0.041624831953589195
11,0.11626611970653715,0.11286632219398904,0.04036890836863458,0.040566538698581185
13,0.11340662668681437,0.11207341500835241,0.040127201318650156,0.040197538225268635
15,0.11074359786317403,0.11104981505693409,0.039854989856733164,0.03975881226652421
