0.7339966056705929,0.36043505837479,0.21018498884004003,0.14757993008293815
0.7221866806786671,0.16323594275316192,0.42068707111004033,0.17641059178332882
0.7371858306064113,0.15249330541406703,0.23389318571495968,0.35752341174298446
History-Threshold,MAE-Binomial,MAE-Baseline, MSE-Binomial, MSE-Baseline
5,0.12649992164169727,0.11431175236633079,0.04324709623979417,0.04127444846387072
7,0.12171933985873946,0.11359364096401366,0.041890084778968356,0.04035886190868012
9,0.11717541398117373,0.11165869443616126,0.040465278974047086,0.038981020744179265
11,0.11401939246593956,0.1104175409073062,0.03962703965009845,0.038197678860728994
13,0.11117630454800183,0.10911449140325682,0.03882403088451144,0.037316279705996075
15,0.1078047724703561,0.10701488842418291,0.03770747202017466,0.03614867773636688
