0.6877107046988524,0.48675311179697345,0.14435765717771734,0.09786420252351131
0.7823216205249338,0.3601123636617152,0.2652663442653151,0.09060177820514931
0.7641302622420887,0.2624653418897633,0.1402325835076032,0.3387809408386941
History-Threshold,MAE-Binomial,MAE-Baseline, MSE-Binomial, MSE-Baseline
5,0.1292303521978728,0.11762034849267212,0.046783689251403346,0.04504271070164215
7,0.1237695752545831,0.11663882956146758,0.044922616535933775,0.04344772825481732
9,0.11851190596744937,0.11397235669043447,0.043095561421023006,0.04162483195359176
11,0.1151343103020919,0.11286632219399785,0.0419883358028736,0.04056653869857389
13,0.11264178882875983,0.11207341500837639,0.04156455770726061,0.040197538225263764
15,0.11043997023833908,0.11104981505695609,0.04121268159059787,0.03975881226651687
