0.7629136103137072,0.4620580502991394,0.2125464812561266
0.6927256863618699,0.17399660735730355,0.521993630631075
History-Threshold,MAE-Binomial,MAE-Baseline, MSE-Binomial, MSE-Baseline
5,0.12596596653513045,0.11598131405058032,0.04478099049521121,0.042839218102438965
7,0.12124805822068133,0.11523344575812502,0.04338828226691688,0.04174583978645846
9,0.1166820092870078,0.11322103304603233,0.04186263688200846,0.04028432403212749
11,0.11331988423203604,0.11175463120731474,0.040764916084181146,0.03921588237479179
13,0.110767517293558,0.11083125499106332,0.040152305887122555,0.03866845731353407
15,0.1081788919461985,0.10943849502372469,0.03936375683744986,0.03785851031240441
