0.6877107046988524,0.48675311179697345,0.14435765717771734,0.09786420252351131
0.7823216205249338,0.3601123636617152,0.2652663442653151,0.09060177820514931
0.7641302622420887,0.2624653418897633,0.1402325835076032,0.3387809408386941
0.7339966056705929,0.36043505837479,0.21018498884004003,0.14757993008293815
0.7221866806786671,0.16323594275316192,0.42068707111004033,0.17641059178332882
0.7371858306064113,0.15249330541406703,0.23389318571495968,0.35752341174298446
0.7629136103137072,0.4620580502991394,0.2125464812561266
0.6927256863618699,0.17399660735730355,0.521993630631075
History-Threshold,MAE-Binomial,MAE-Baseline, MSE-Binomial, MSE-Baseline
5,0.1290961114552199,0.11589486861188165,0.045312284726374046,0.04309535855590577
7,0.12390032209523298,0.11500327585982432,0.043658462339108826,0.04190528603297383
9,0.1191615349924156,0.1130373441787425,0.04208800345105236,0.040435614264862925
11,0.11550553985484123,0.1116178422055631,0.04088659879031323,0.03936560206212704
13,0.11290343749426338,0.11070317535759411,0.04027604416870536,0.0388076266269922
15,0.11021527740943898,0.1093062944943588,0.03950333961387933,0.03799418060600324
