0.7728145579323152,0.5213905416385766,0.1531488250365219,0.1331577368272947
0.837465203570181,0.44028902974132433,0.28412431984476283,0.06676168043790077
0.7993101111118835,0.32978969936329067,0.15319019924361368,0.3587677053640029
History-Threshold,MAE-Binomial,MAE-Baseline, MSE-Binomial, MSE-Baseline
5,0.1372713140964479,0.13850100059617226,0.04931539588007324,0.04719574341985254
7,0.13129045516051963,0.13675555264793685,0.046524436744717526,0.04496095551728796
9,0.1262614618616375,0.13445611988632006,0.04448370136376528,0.04320116841626606
11,0.12252765504778683,0.13277072445655808,0.0428012844098313,0.04177437703809077
13,0.11973926892617616,0.13226645882583637,0.04187552797634582,0.04123503833025095
15,0.11762216902899496,0.13121883810278828,0.04138781642960287,0.040691555448884954
