0.7938139706660278,0.4380418069285794,0.5126028337456136,0.40139240587550795
0.6936624968373747,0.3708887433066362,0.7503588727610452,0.3885180247380919
0.7796725027748282,0.31437877151998483,0.5163749610580047,0.6025586100180234
History-Threshold,MAE-Binomial,MAE-Baseline, MSE-Binomial, MSE-Baseline
5,0.13343078534325145,0.13757229671495197,0.04277599053346662,0.044154424097542555
7,0.127142933111247,0.13592131794251888,0.04107495326330334,0.04239682277915271
9,0.1221720904699403,0.13403432654281255,0.039633023756966,0.04073019856317799
11,0.11908928631561232,0.13322219642352193,0.03907084647345443,0.03995158783480093
13,0.11562570685388876,0.13185215109957854,0.03805608455872882,0.03889427756465603
15,0.11181399694085342,0.12964467286128922,0.03679202474899338,0.03765010527550144
