0.8720965839271455,0.40360534919491736,0.42129536876282603,0.2184699146157593
0.6005502056227547,0.8712588274148647,0.461435799387649,0.17065057073776724
0.6036997648231195,0.5090312842358349,0.38775723895297004,0.6102543842900163
0.7645944039032169,0.445590993615188,0.4732254195669784,0.36322147200222166
0.6745623976686564,0.34891892016116216,0.7314039828184618,0.35711211186806757
0.7041311771568904,0.30538699197445973,0.5381816370119229,0.6064763337635759
0.8448676361018111,0.5532724954894767,0.5307207798429124
0.8113396902158075,0.3996804137771197,0.6875916067105257
History-Threshold,MAE-Binomial,MAE-Baseline, MSE-Binomial, MSE-Baseline
5,0.11007784143370992,0.13663339431771745,0.042961608357317375,0.04487648378174903
7,0.10731300305389456,0.1340322880657633,0.042018308376178926,0.042590789291445635
9,0.10467758444376665,0.13183520055366435,0.04114214156097478,0.04094626847971188
11,0.10245133941762924,0.13034851093015765,0.04029002146832346,0.03986355863903043
13,0.10046170015751738,0.12904554904465032,0.039649943013782524,0.03899155226188931
15,0.09924087912227705,0.12821773634189088,0.03936043112338879,0.0383742652664078
