0.8181812764810398,0.3978199752715947,0.26349676372458647,0.17703193900549044
0.8167596772749083,0.17641002418640567,0.5185410084701934,0.19248711406756475
0.8584631272416936,0.15924235206329942,0.28541191241729447,0.42200003668778197
History-Threshold,MAE-Binomial,MAE-Baseline, MSE-Binomial, MSE-Baseline
5,0.1338570846072144,0.13757229671487237,0.04652574227836253,0.04415442409755269
7,0.12827105416604273,0.13592131794245638,0.044150427715027196,0.042396822779163186
9,0.12346119148569278,0.13403432654279215,0.042024564887220804,0.04073019856318737
11,0.12049406233479093,0.13322219642352018,0.041088257883890124,0.03995158783480072
13,0.11717307526418752,0.13185215109957774,0.03974849938743611,0.03889427756465653
15,0.11359230449402213,0.12964467286128722,0.03833662714607638,0.037650105275498294
