0.8406158857946968,0.4421642724797512,0.457582317265369,0.27112036898360353
0.6003889155015358,0.8771505864916826,0.47832168827708216,0.21887613240816342
0.5029190007361145,0.5759040590441539,0.394995970692954,0.7296755776749833
History-Threshold,MAE-Binomial,MAE-Baseline, MSE-Binomial, MSE-Baseline
5,0.14161707432911877,0.13850100059624043,0.046082165531021145,0.04719574341984559
7,0.13468792461705245,0.1367555526479641,0.043845116626480586,0.044960955517286814
9,0.12889885245617286,0.13445611988631428,0.04219359929933236,0.04320116841626503
11,0.12446030702391192,0.13277072445653898,0.040826500962083546,0.041774377038094425
13,0.12148714732388911,0.132266458825814,0.040213511886734596,0.04123503833025098
15,0.11850555831455402,0.1312188381027722,0.03970219560861659,0.04069155544888437
