0.7412402580944156,0.520424360815308,0.14777906014145106,0.12104283725881758
0.8301385861702268,0.4268623173243169,0.26812606723627347,0.06766374633603867
0.7893985247085585,0.3230285568967463,0.14823264989566728,0.34471948375560524
0.7842652663523669,0.3956270221618374,0.2469632639785531,0.1628462293792418
0.7947952568161449,0.16973126932163923,0.4931233066517847,0.18450975004638479
0.8244438590260309,0.15174565112488217,0.27788505561462723,0.408841146044452
0.816525317200642,0.49674095033078,0.23232526653169192
0.7642967274639882,0.17714578707723774,0.5850376313200322
History-Threshold,MAE-Binomial,MAE-Baseline, MSE-Binomial, MSE-Baseline
5,0.13837091698463205,0.13663339431768212,0.04858319430998016,0.04487648378173024
7,0.1319751695906719,0.13403228806571496,0.04549140001134214,0.042590789291437836
9,0.1269158461065241,0.1318352005536221,0.04332301304585698,0.04094626847970723
11,0.12327385159671568,0.1303485109300847,0.04192277094148733,0.03986355863902998
13,0.12007615549950336,0.1290455490445923,0.04058777657270525,0.03899155226189176
15,0.11770879091761638,0.12821773634185227,0.039797698425906636,0.03837426526640904
