0.8358234181586086,0.5094998012574851,0.24068829904745884
0.7893246160722451,0.18433411466606986,0.60586934452316
History-Threshold,MAE-Binomial,MAE-Baseline, MSE-Binomial, MSE-Baseline
5,0.1353464119249295,0.13872869810674596,0.04804243035769548,0.0455445234594852
7,0.12951276280023907,0.13693215789000887,0.04535382662316671,0.04362039763620768
9,0.125197280027478,0.13518781402523397,0.04356802300668335,0.04210933531297742
11,0.12172514241244303,0.13378755311688081,0.042136023736781575,0.040942546952255146
13,0.11924451899490851,0.13290800995496782,0.04125835676088478,0.04021768611900747
15,0.11625966291215031,0.13146872868516224,0.040022964169458115,0.03931640155141418
